model_name,filters,num_params,test_loss,test_accuracy,activation_bit_width,logit_bit_width,activation_int_bits,logit_int_bits
model_77,16-16,5258,2.05416202545166,0.28619998693466187,8,4,2,2
model_78,16-16,5258,1.5006734132766724,0.47119998931884766,8,6,2,2
model_79,16-16,5258,1.239255666732788,0.5828999876976013,8,8,2,2
model_80,16-16,5258,2.2894065380096436,0.1160999983549118,2,2,1,1
model_81,16-16,5258,2.1961538791656494,0.2037999927997589,2,4,1,2
model_82,16-16,5258,1.3126542568206787,0.5544999837875366,2,6,1,2
model_83,16-16,5258,1.2246382236480713,0.565500020980835,2,8,1,2
model_84,16-16,5258,2.2930004596710205,0.13609999418258667,4,2,2,1
model_85,16-16,5258,1.9849531650543213,0.2980000078678131,4,4,2,2
model_86,16-16,5258,1.2994064092636108,0.5604000091552734,4,6,2,2
model_87,16-16,5258,1.2065037488937378,0.5863999724388123,4,8,2,2
model_88,16-16,5258,2.2961723804473877,0.17569999396800995,6,2,2,1
model_89,16-16,5258,2.0111043453216553,0.3125999867916107,6,4,2,2
model_90,16-16,5258,1.3064002990722656,0.5522000193595886,6,6,2,2
model_91,16-16,5258,1.1889086961746216,0.6046000123023987,6,8,2,2
