model_name,test_loss,test_accuracy
model_160,0.8485221862792969,0.7023674845695496
model_161,0.8479068279266357,0.7067650556564331
model_162,0.8141030669212341,0.7086385488510132
model_163,0.7808527946472168,0.7206325531005859
model_164,0.8398396372795105,0.7049939632415771
model_165,0.8139260411262512,0.711174726486206
model_166,0.8000658750534058,0.7134940028190613
model_167,0.7853349447250366,0.7160000205039978
model_168,0.8069908022880554,0.7120180726051331
model_169,0.7967901825904846,0.7135602235794067
model_17,0.8533940315246582,0.7028855681419373
model_170,0.7975457310676575,0.7157469987869263
model_171,0.7740684747695923,0.7195963859558105
model_172,0.7998903393745422,0.7188494205474854
model_173,0.7871960401535034,0.7193674445152283
model_174,0.8189331889152527,0.7067831158638
model_175,0.7184743285179138,0.7424939870834351
model_176,0.8679708242416382,0.6846686601638794
model_177,0.8273636102676392,0.7008373737335205
model_178,0.8062458634376526,0.7112529873847961
model_179,0.7919175624847412,0.7199879288673401
model_18,0.8466707468032837,0.7126084566116333
model_180,0.8126418590545654,0.7128795385360718
model_181,0.798210084438324,0.7157289385795593
model_182,0.7813654541969299,0.718999981880188
model_183,0.7393409013748169,0.7329277396202087
model_184,0.8154292106628418,0.707686722278595
model_185,0.7840853333473206,0.7203855514526367
model_186,0.7931285500526428,0.7151325345039368
model_187,0.8158400654792786,0.6920120716094971
model_188,0.7922143936157227,0.7137409448623657
model_189,0.7744542360305786,0.7229999899864197
model_19,0.8080219030380249,0.7179578542709351
model_190,0.8006538152694702,0.7148734927177429
model_191,0.7869694828987122,0.7129879593849182
model_2,0.8480783104896545,0.7102469801902771
model_20,0.9126505255699158,0.6938192844390869
model_21,0.8500282168388367,0.709620475769043
model_22,0.830302894115448,0.7158433794975281
model_23,0.8078937530517578,0.7220421433448792
model_24,0.891029953956604,0.7000963687896729
model_25,0.8363716006278992,0.7140301465988159
model_26,0.8207568526268005,0.7186024188995361
model_27,0.7967467904090881,0.7289217114448547
model_28,0.8930686116218567,0.7020783424377441
model_29,0.850171685218811,0.707891583442688
model_3,0.8303600549697876,0.7188915610313416
model_30,0.825678288936615,0.7155240774154663
model_31,0.8354748487472534,0.7104759216308594
model_32,0.9037927389144897,0.6946024298667908
model_33,0.8574388027191162,0.7084217071533203
model_34,0.8242483735084534,0.7173915505409241
model_35,0.8093336820602417,0.7215059995651245
model_36,0.890914261341095,0.7006445527076721
model_37,0.8617643117904663,0.703524112701416
model_38,0.8253446817398071,0.7184096574783325
model_39,0.803117573261261,0.7272289395332336
model_4,0.951943039894104,0.6954758763313293
model_40,0.8778149485588074,0.7023373246192932
model_41,0.8454328179359436,0.7102530002593994
model_42,0.8042870163917542,0.7235843539237976
model_43,0.7854664921760559,0.7275060415267944
model_44,0.890209436416626,0.6985843181610107
model_45,0.8473000526428223,0.7049759030342102
model_46,0.8097198009490967,0.7242409586906433
model_47,0.8007175326347351,0.7277469635009766
model_48,0.9020671844482422,0.693078339099884
model_49,0.8504356145858765,0.7042710781097412
model_5,0.8557596802711487,0.7035120725631714
model_50,0.8284516930580139,0.7158132791519165
model_51,0.8051605820655823,0.7260783314704895
model_52,0.9091432690620422,0.6917228698730469
model_53,0.8620625138282776,0.706301212310791
model_54,0.8220463395118713,0.719524085521698
model_55,0.8052735328674316,0.7244517803192139
model_56,0.8569833636283875,0.7066987752914429
model_57,0.8296397924423218,0.7181626558303833
model_58,0.8060542345046997,0.7239879369735718
model_59,0.7908103466033936,0.7267048358917236
model_6,0.8371768593788147,0.7147048115730286
model_60,0.8579462766647339,0.7101566195487976
model_61,0.8319486975669861,0.7133554220199585
model_62,0.7990286350250244,0.7254578471183777
